objectid,youtubeid,title,creator,datecreated,subject,location ,filename ,source,type,format,language,rights ,citation,creativecommons,image_alt_text,description,,,,,
histoftrktwn_2021_wmun_022, ,Will Mundy Hurdling,Paul W. HarveyIV1,4/3/2021,WIll Mundy,"Eugene, OR",histoftrktwn_2021_wmun_022.jpeg,"<a href=""https://oregondigital.org/""target=""_blank""UO Athletics </a>",Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0,<a href='https://oregondigital.org/concern/images/k3569n92b target='_blank'>https://oregondigital.org/concern/images/k3569n92b</a>, ,"Will Mundy, a track runner, competing in hurdles at a track meet ",Pictures of track runners competing,,,,,
histoftrktwn_2021_hywf_023, ,Hayward Scoreboard, Paul W. HarveyIV1,4/3/2021,Stadiums,"Eugene, OR",histoftrktwn_2021_hywf_023.jpeg,"<a href=""https://oregondigital.org/""target=""_blank"">UO Athletics Scoreboard</a>",Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0,<a href=''https://oregondigital.org/concern/images/k3569n56g'target='_blank'>https://oregondigital.org/concern/images/k3569n56g</a>,"<a href=""http://creativecommons.org/licenses/by-nd/4.0/""target=_blank"">Creative Common License</a>",New scoreboard screen at Hayward Field,Picture of the new scoreboard screen at Hayward field,,,,,
histoftrktwn_2009_demd_024, ,Daily Emerald - Trademarking Track Town,Ashley Chase,5/28/2009,"University of Oregon;
Student newspapers and periodicals","Eugene, OR",histoftrktwn_2009_demd_024.pdf,"<a href=""https://oregondigital.org/""target=""_blank"">Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,http://rightsstatements.org/vocab/InC/1.0,<a href='https://oregondigital.org/concern/documents/m613mz14s' target='_blank'>https://oregondigital.org/concern/documents/m613mz14s</a>, ,Daily Emerald Newspaper about how Track Town is gaining attention,A newspaper that shares how Track is becoming big in Eugene,,,,,
histoftrktwn_2022_hywf_025, ,Daily Emerald - Track Town Triumphs,Sarah-Mae McCullough,05/20/2022,Duck Track Season,"Eugene, OR",histoftrktwn_2022_hywf_025.pdf,"<a href=""https://oregondigital.org/""target=""_blank"">Oregon Daily Emerald</a>",Text,document/pdf,eng,http://rightsstatements.org/vocab/InC/1.0, <a href='https://oregondigital.org/concern/documents/fx71d828k' target='_blank'>https://oregondigital.org/concern/documents/fx71d828k</a>, ,Daily Emerald Newspaper article about how track in Eugene is growing,A newspaper that shares how Eugene has become Tracktown,,,,,
histoftrktwn_2017_demd_026, ,Daily Emerald - Racing Ahead,Jack Pitcher ,11/20/2017,Track Town Triumphs,"Eugene, OR",histoftrktwn_2017_demd_026.pdf,"<a href=""https://oregondigital.org/""target=""_blank"">Oregon Daily Emerald Archive</a>",Text,document/pdf,eng,http://rightsstatements.org/vocab/InC/1.0,<a href='https://oregondigital.org/concern/documents/fx71ch073' target='_blank'>https://oregondigital.org/concern/documents/fx71ch073</a>, ,Daily Emerald Newspaper about how track in Eugene is gaining Worldwide attention and gains the name of Track Town,A newspaper that shares how Eugene is growing because of track,,,,,
histoftrktwn_2011_trktwnmur_027, ,Track Town Mural,Frank Miller,09/25/2018,Eugene; Murals,"Eugene, OR",histoftrktwn_2011_trktwnmur_027.jpeg,"<a href=""https://oregondigital.org/""target=""_blank"">Marketing Communications Photo</a>",Image;StillImage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0,<a href=' https://oregondigital.org/concern/images/df72xg634' target='_blank'> https://oregondigital.org/concern/images/df72xg634</a>, ,A picture of a mural located in Eugene representing how much Eugene is Tracktown,A mural painting located in Eugene,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,,,,,,,|